,GPS,NFC,OS,RAM,SIM,approx_price_DOLLAR,audio_jack,battery,display_size,internal_memory,loud_speaker,primary_camera,radio,screen_to_body_ratio,secondary_camera
,0,1,2,0,SIM,approx_price_EUR,audio_jack,3,4,5,6,0,7,8,0
0,Yes,,Android 6.0,2 GB,Dual,190.4,Yes,3400.0,7.0,32 GB,Yes,13 MP,Yes,69.8,2 MP
1,Yes,,Android 6.0,3 GB,Dual,280.0,Yes,4080.0,5.5,32 GB,Yes,13 MP,Yes,71.7,5 MP
2,Yes,,Android 6.0,1 GB,Dual,134.4,Yes,2000.0,5.0,8 GB,Yes,8 MP,Yes,,2 MP
3,,,Android 6.0,2 GB,No,257.6,Yes,,10.1,64 GB,Yes,5 MP,No,68.4,2 MP
4,Yes,,Android 5.1,3 GB,Triple,257.6,Yes,4020.0,5.5,32 GB,Yes,13 MP,Yes,69.0,13 MP
5,Yes,,Android 6.0,3 GB,Dual,,Yes,,5.5,32 GB,Yes,21 MP,Yes,,8 MP
6,Yes,,Android 6.0,2 GB,Dual,224.00000000000003,Yes,5000.0,5.5,16 GB,Yes,13 MP,Yes,70.3,5 MP
7,Yes,,Android 6.0,1 GB,Dual,123.20000000000002,Yes,2000.0,5.0,8 GB,Yes,8 MP,Yes,66.4,5 MP
8,,,Android 5.0,2 GB,No,392.00000000000006,Yes,4420.0,8.0,64 GB,Yes,5 MP,No,67.1,2 MP
9,Yes,,Windows,3 GB,Dual,246.40000000000003,Yes,2870.0,5.5,32 GB,Yes,21 MP,Yes,70.2,8 MP
10,Yes,,Android 5.1,1 GB,Dual,123.20000000000002,Yes,2000.0,4.5,8 GB,Yes,5 MP,Yes,61.7,5 MP
11,Yes,,Android 5.1,1 GB,Dual,100.80000000000001,Yes,2000.0,4.5,8 GB,Yes,5 MP,Yes,61.7,2 MP
12,Yes,,Android 5.1,3 GB,Dual,,Yes,4000.0,5.5,32 GB,Yes,8 MP,Yes,68.8,8 MP
13,Yes,,Android 5.1,1 GB,Dual,224.00000000000003,Yes,4000.0,5.5,8 GB,Yes,8 MP,Yes,68.8,8 MP
14,Yes,,Android 5.1,3 GB,Dual,,Yes,2420.0,5.0,32 GB,Yes,8 MP,Yes,68.1,8 MP
