Google,HP,Amazon,Huawei,Toshiba,T-Mobile,vivo,Prestigio,VK Mobile,Wiko,Vodafone,Orange,Allview,Sony,ZTE,LG,Neonode,verykool,QMobile,BlackBerry,LeEco,BQ,Lenovo,Nvidia,Gigabyte,BLU,Mitac,Xiaomi,Kyocera,Yota,Eten,Samsung,Sagem,Coolpad,Intex,Karbonn,Nokia,Oppo,Meizu,Spice,Acer,BenQ,Yezz,Sharp,iNQ,Apple,Qtek,Asus,Jolla,Cat,Celkon,Sonim,Lava,NIU,Philips,Motorola,Gionee,Dell,Micromax,Pantech,O2,Panasonic,Archos,Garmin-Asus,i-mate,XOLO,Casio,Icemobile,Sony Ericsson,HTC,OnePlus,Palm,NEC,Vertu,alcatel,Microsoft,YU,GPRS,EDGE,2G,3G,4G,SIM,CPU,Chipset,GPU,memory_card,GPS,NFC,OS,audio_jack,loud_speaker,radio,RAM,primary_camera,secondary_camera,weight_g,internal_memory,battery,Thickness,display_size,screen_to_body_ratio,Price
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,381,220,72,1,1,1,40,1,1,1,0.031235217814968987,0.3,0.05263157894736842,0.12852398431842588,0.062498211856330595,0.0041796587475079255,0.0027645522961142685,0.34482758620689663,0.7266355140186915,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,322,184,75,1,1,1,40,1,1,1,0.0468604562373082,0.3,0.21052631578947367,0.0830773840737134,0.062498211856330595,0.005018056372376772,0.0021502073414222085,0.2586206896551725,0.7488317757009346,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,378,174,72,1,1,1,40,1,1,1,0.015609979392629777,0.17500000000000002,0.05263157894736842,0.07615024660531075,0.015623122449147125,0.002453545990425006,0.005961505012885062,0.2298850574712644,0.5072159520732534,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,381,205,70,1,1,1,40,1,1,0,0.031235217814968987,0.1,0.05263157894736842,0.07615024660531075,0.12499833106590855,0.002705791482596726,0.002457379818768238,0.5229885057471264,0.7102803738317758,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,322,184,76,1,1,1,38,1,1,1,0.0468604562373082,0.3,0.631578947368421,0.0815791445052064,0.062498211856330595,0.0049440801113589325,0.0021502073414222085,0.2586206896551725,0.7172897196261683,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,381,167,72,1,1,1,40,1,1,1,0.031235217814968987,0.3,0.21052631578947367,0.07615024660531075,0.031248152251541615,0.0061523590413169755,0.003071724773460298,0.2586206896551725,0.7324766355140186,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,380,145,53,1,1,1,40,1,1,1,0.015609979392629777,0.17500000000000002,0.21052631578947367,0.061103203735610664,0.015623122449147125,0.002453545990425006,0.0021502073414222085,0.2298850574712644,0.6869158878504674,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,406,96,49,1,1,1,35,1,1,0,0.031235217814968987,0.1,0.05263157894736842,0.17536894149374488,0.12499833106590855,0.005437255184811195,0.0023037935800952238,0.4022988505747127,0.6950934579439252,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,225,380,27,1,1,1,49,1,1,1,0.0468604562373082,0.5,0.3684210526315789,0.07358853347316903,0.062498211856330595,0.003526201775183677,0.0021502073414222085,0.2586206896551725,0.7313084112149533,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,363,329,12,1,1,1,38,1,1,1,0.015609979392629777,0.1,0.21052631578947367,0.06959322795715035,0.015623122449147125,0.002453545990425006,0.002918138534787283,0.20114942528735633,0.6320093457943926,2
