brand,network_technology,GPRS,EDGE,dimentions,weight_g,SIM,display_resolution,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,GPS,NFC,radio,battery,approx_price_EUR
Acer,GSM / HSPA / LTE,Yes,Yes,191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in),260,Dual SIM (Micro-SIM/Nano-SIM),7.0 inches (~69.8% screen-to-body ratio),Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,Mediatek MT8735,Mali-T720MP2,microSD  up to 128 GB (dedicated slot),16/32 GB,2 GB RAM,13 MP| autofocus,2 MP| 720p,Yes,Yes,Yes with A-GPS GLONASS,,FM radio,Non-removable Li-Ion 3400 mAh battery (12.92 Wh),170
Acer,GSM / HSPA / LTE,Yes,Yes,153.8 x 75.6 x 8.5 mm (6.06 x 2.98 x 0.33 in),169,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),5.5 inches (~71.7% screen-to-body ratio),Android 6.0 (Marshmallow),Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Mali-T720MP3,microSD  up to 256 GB (uses SIM 2 slot),32 GB,3 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Yes with A-GPS,,FM radio,Removable Li-Po 4080 mAh battery,250
Acer,GSM / HSPA / LTE,Yes,Yes,-,,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),5.0 inches,Android 6.0 (Marshmallow),Quad-core 1.25 GHz Cortex-A53,Mediatek MT6737,Mali-T720MP2,microSD  up to 256 GB,8 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Yes with A-GPS,,FM radio,Removable Li-Ion 2000 mAh battery,120
Acer,No cellular connectivity,No,No,259 x 167 x 8.9 mm (10.20 x 6.57 x 0.35 in),,No,10.1 inches (~68.4% screen-to-body ratio),Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,Mediatek MT8163A,Mali-T720 MP2,microSD  up to 256 GB (dedicated slot),16/32/64 GB,2 GB RAM,5 MP,2 MP,Yes with stereo speakers (4 speakers),Yes,,,No,Non-removable Li-Ion battery,230
Acer,GSM / HSPA / LTE,Yes,Yes,153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in),166,Triple SIM (Micro-SIM),5.5 inches (~69.0% screen-to-body ratio),Android 5.1 (Lollipop),Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Mali-T720MP4,microSD  up to 32 GB (dedicated slot),32 GB,3 GB RAM,13 MP| f/1.8| autofocus| LED flash| ,13 MP| f/1.8| autofocus| LED flash,Yes,Yes,Yes with A-GPS,,FM radio,Removable Li-Po 4020 mAh battery,230
Acer,GSM / HSPA / LTE,Yes,Yes,154 x 77 x 10 mm (6.06 x 3.03 x 0.39 in),,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),5.5 inches (~70.3% screen-to-body ratio),Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6735,Mali-T720MP2,microSD (dedicated slot),16 GB,2 GB RAM,13 MP| phase detection/laser autofocus| LED flash,5 MP,Yes,Yes,Yes with A-GPS,,FM radio,Non-removable Li-Ion 5000 mAh battery,200
Acer,GSM / HSPA / LTE,Yes,Yes,145.7 x 71.2 x 8.4 mm (5.74 x 2.80 x 0.33 in),125,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),5.0 inches (~66.4% screen-to-body ratio),Android 6.0 (Marshmallow),Quad-core 1.3 GHz - Z525,Mediatek MT6580 - Z525,Mali-400MP2 - Z525,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,8 MP| f/2.0| autofocus| LED flash,5 MP,Yes,Yes,Yes with A-GPS,,FM radio,Removable Li-Ion 2000 mAh battery,110
Acer,No cellular connectivity,No,No,217.9 x 127 x 8.6 mm (8.58 x 5.0 x 0.34 in),353.8,No,8.0 inches (~67.1% screen-to-body ratio),Android 5.0 (Lollipop),Quad-core 1.6 GHz,Intel Atom x7-Z8700,,microSD  up to 256 GB (dedicated slot),32/64 GB,2 GB RAM,5 MP,2 MP,Yes with stereo speakers (4 speakers),Yes,,,No,Non-removable Li-Po 4420 mAh battery,350
Acer,GSM / HSPA / LTE,Yes,Yes,156.5 x 75.9 x 8.4 mm (6.16 x 2.99 x 0.33 in),150,Dual SIM (Nano-SIM| dual stand-by),5.5 inches (~70.2% screen-to-body ratio),Microsoft Windows 10,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),Qualcomm MSM8992 Snapdragon 808,Adreno 418,microSD  up to 256 GB (uses SIM 2 slot),32 GB,3 GB RAM,21 MP| f/2.2| autofocus| dual-LED flash| ,8 MP| f/2.2| 1080p@30fps,Yes,Yes,Yes with A-GPS,,FM radio,Non-removable Li-Po 2870 mAh battery,220
Acer,GSM / HSPA / LTE,Yes,Yes,136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),4.5 inches (~61.7% screen-to-body ratio),Android 5.1 (Lollipop),Quad-core 1.1 GHz Cortex-A7,Qualcomm MSM8909 Snapdragon 210,Adreno 304,microSD (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,5 MP,Yes,Yes,Yes with A-GPS,,FM radio,Removable Li-Ion 2000 mAh battery,110
Acer,GSM / HSPA,Yes,Yes,136 x 66.5 x 9.6 mm (5.35 x 2.62 x 0.38 in),142,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),4.5 inches (~61.7% screen-to-body ratio),Android 5.1 (Lollipop),Quad-core 1.0 GHz Cortex-A7,Qualcomm MSM8909 Snapdragon 210,Adreno 304,microSD (dedicated slot),8 GB,1 GB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Yes with A-GPS,,FM radio,Removable Li-Po 2000 mAh battery,90
