,GPS,NFC,audio_jack,battery,radio
0,Yes,,Yes,3400.0,Yes
1,Yes,,Yes,4080.0,Yes
2,Yes,,Yes,2000.0,Yes
3,,,Yes,,No
4,Yes,,Yes,4020.0,Yes
5,Yes,,Yes,5000.0,Yes
6,Yes,,Yes,2000.0,Yes
7,,,Yes,4420.0,No
8,Yes,,Yes,2870.0,Yes
9,Yes,,Yes,2000.0,Yes
10,Yes,,Yes,2000.0,Yes
11,Yes,,Yes,4000.0,Yes
12,Yes,,Yes,2420.0,Yes
13,Yes,Yes,Yes,5910.0,No
14,Yes,,Yes,4550.0,No
15,Yes,,Yes,5910.0,No
16,Yes,,Yes,5910.0,No
17,Yes,,Yes,2300.0,Yes
18,Yes,,Yes,2000.0,Yes
19,Yes,,Yes,1300.0,Yes
20,Yes,,Yes,1300.0,Yes
21,Yes,,Yes,2000.0,Yes
22,Yes,,Yes,2300.0,Yes
23,Yes,,Yes,2000.0,Yes
24,Yes,,Yes,2700.0,Yes
25,Yes,,Yes,2100.0,Yes
26,Yes,,Yes,3500.0,Yes
27,Yes,,Yes,2500.0,
28,Yes,,Yes,1300.0,Yes
29,Yes,,Yes,4600.0,No
30,Yes,,Yes,,No
31,Yes,,Yes,,No
32,No,,Yes,3700.0,No
33,Yes,,Yes,,
34,Yes,,Yes,,
35,No,,Yes,1630.0,No
36,Yes,,Yes,2955.0,No
37,Yes,,Yes,2955.0,No
38,Yes,,Yes,4000.0,No
39,Yes,,Yes,2000.0,Yes
40,Yes,Yes,Yes,3300.0,Yes
41,Yes,,Yes,1500.0,Yes
42,Yes,,Yes,2400.0,Yes
43,Yes,,Yes,7300.0,No
44,Yes,,Yes,4960.0,No
45,Yes,,Yes,4960.0,No
46,Yes,,Yes,2000.0,Yes
47,Yes,,Yes,1300.0,Yes
48,Yes,,Yes,2000.0,Yes
49,Yes,Yes,Yes,1760.0,Yes
50,Yes,,Yes,2640.0,No
51,Yes,,Yes,2710.0,No
52,Yes,,Yes,3420.0,No
53,Yes,,Yes,1300.0,Yes
54,Yes,,Yes,1500.0,Yes
55,Yes,,Yes,1500.0,Yes
56,Yes,Yes,Yes,1300.0,Yes
57,Yes,Yes,Yes,1460.0,Yes
58,Yes,,Yes,3260.0,No
59,Yes,,Yes,3260.0,No
60,Yes,,Yes,9800.0,No
61,Yes,,Yes,9800.0,No
62,Yes,,Yes,9800.0,No
63,Yes,,Yes,9800.0,No
64,Yes,,Yes,1300.0,No
65,Yes,Yes,Yes,,Yes
66,Yes,,Yes,3260.0,No
67,Yes,,Yes,1500.0,Yes
68,Yes,,Yes,3260.0,No
69,Yes,,Yes,1530.0,No
70,Yes,,Yes,1530.0,No
71,Yes,,Yes,1300.0,Yes
72,Yes,,Yes,1300.0,Yes
73,Yes,,Yes,1300.0,Yes
74,Yes,,No,1500.0,No
75,Yes,,Yes,1500.0,No
76,Yes,,Yes,1500.0,Yes
77,Yes,,Yes,1500.0,Yes
78,Yes,,Yes,1400.0,Yes
79,Yes,,Yes,1350.0,No
80,Yes,,Yes,1090.0,Yes
81,Yes,,Yes,1090.0,Yes
82,Yes,,Yes,970.0,No
83,Yes,,Yes,1500.0,Yes
84,Yes,,Yes,1350.0,No
85,Yes,,Yes,1350.0,Yes
86,Yes,,No,1140.0,No
87,Yes,,No,1140.0,No
88,Yes,,No,1140.0,No
89,Yes,,No,1260.0,Yes
90,Yes,,No,1530.0,Yes
91,Yes,,No,1530.0,Yes
92,Yes,,No,1530.0,No
93,Yes,,No,1530.0,No
94,Yes,,Yes,2800.0,Yes
95,Yes,,Yes,3000.0,Yes
96,Yes,,Yes,2460.0,Yes
97,Yes,,Yes,2500.0,Yes
98,Yes,,Yes,2150.0,Yes
99,Yes,,Yes,2000.0,Yes
100,Yes,,Yes,3000.0,Yes
101,Yes,,Yes,3240.0,No
102,Yes,Yes,Yes,2960.0,Yes
103,Yes,,Yes,2500.0,Yes
104,Yes,,Yes,2500.0,Yes
105,Yes,,Yes,3000.0,No
106,Yes,Yes,Yes,3000.0,Yes
107,Yes,Yes,Yes,2610.0,Yes
108,Yes,,Yes,2580.0,Yes
109,Yes,,Yes,2580.0,Yes
110,Yes,,Yes,2580.0,Yes
111,Yes,,Yes,1500.0,Yes
112,Yes,,Yes,2500.0,No
113,Yes,,Yes,2000.0,No
114,Yes,,Yes,2500.0,Yes
115,No,Yes,No,210.0,No
116,Yes,,Yes,3000.0,Yes
117,No,,,400.0,Yes
118,Yes,,Yes,3500.0,Yes
119,Yes,,Yes,2000.0,
120,Yes,Yes,Yes,2910.0,Yes
121,Yes,Yes,Yes,2000.0,Yes
122,Yes,,Yes,2800.0,Yes
123,Yes,,Yes,3240.0,No
124,Yes,,Yes,2820.0,No
125,Yes,,Yes,2820.0,No
126,No,,Yes,2820.0,No
127,Yes,,Yes,4600.0,Yes
128,Yes,,Yes,1800.0,Yes
129,Yes,,Yes,1400.0,Yes
130,Yes,,Yes,1400.0,Yes
131,Yes,,Yes,1300.0,Yes
132,Yes,Yes,Yes,1400.0,Yes
133,Yes,,Yes,1300.0,Yes
134,Yes,,Yes,2000.0,Yes
135,No,,Yes,1000.0,Yes
136,Yes,,Yes,2000.0,Yes
137,Yes,,Yes,2000.0,Yes
138,Yes,,Yes,,Yes
139,Yes,,Yes,1400.0,Yes
140,Yes,,Yes,4100.0,No
141,Yes,Yes,Yes,4060.0,Yes
142,Yes,Yes,Yes,3100.0,Yes
143,Yes,,Yes,1300.0,Yes
144,Yes,,Yes,1800.0,Yes
145,Yes,,Yes,1300.0,Yes
146,Yes,,Yes,3240.0,No
147,No,,Yes,750.0,Yes
148,No,,Yes,750.0,Yes
149,No,,Yes,750.0,Yes
150,No,,Yes,850.0,Yes
151,No,,No,850.0,Yes
152,Yes,,Yes,3240.0,No
153,No,,Yes,2840.0,No
154,Yes,Yes,Yes,3400.0,Yes
155,Yes,Yes,Yes,3000.0,Yes
156,Yes,Yes,Yes,2000.0,Yes
157,,,Yes,,
158,Yes,,Yes,1700.0,Yes
159,Yes,,Yes,1300.0,Yes
160,Yes,Yes,Yes,2150.0,No
161,Yes,Yes,Yes,2000.0,No
162,Yes,Yes,Yes,2000.0,Yes
163,Yes,,Yes,1700.0,Yes
164,Yes,Yes,Yes,1000.0,Yes
165,No,,Yes,1000.0,Yes
166,Yes,,Yes,2500.0,Yes
167,Yes,,Yes,2500.0,Yes
168,Yes,,Yes,3240.0,No
169,Yes,,Yes,1800.0,Yes
170,Yes,,Yes,1400.0,Yes
171,Yes,,Yes,1900.0,Yes
172,Yes,,Yes,1800.0,Yes
173,Yes,,Yes,1300.0,Yes
174,Yes,,Yes,1300.0,Yes
175,Yes,,Yes,2000.0,Yes
176,Yes,,Yes,3400.0,Yes
177,Yes,,Yes,2000.0,Yes
178,Yes,,Yes,1700.0,Yes
179,No,,Yes,3000.0,No
180,No,,Yes,1300.0,Yes
181,Yes,,Yes,2000.0,Yes
182,Yes,,Yes,1400.0,Yes
183,Yes,,Yes,1500.0,Yes
184,Yes,,Yes,2500.0,Yes
185,Yes,,No,,No
186,Yes,,No,,No
187,Yes,,Yes,,No
188,No,,Yes,3240.0,No
189,Yes,,Yes,3300.0,No
190,Yes,,No,1800.0,Yes
191,Yes,,Yes,1800.0,Yes
192,Yes,,Yes,1400.0,Yes
193,Yes,,Yes,1400.0,Yes
194,Yes,,Yes,1400.0,Yes
195,Yes,Yes,Yes,1800.0,Yes
196,Yes,,Yes,2500.0,Yes
197,Yes,,Yes,2500.0,Yes
198,Yes,,Yes,2500.0,Yes
199,Yes,,Yes,1300.0,Yes
200,Yes,,Yes,1800.0,Yes
201,Yes,,Yes,1800.0,Yes
202,Yes,,Yes,,Yes
203,Yes,,Yes,1400.0,Yes
204,Yes,,Yes,1500.0,Yes
205,Yes,,Yes,1300.0,Yes
206,No,,Yes,1000.0,Yes
207,No,,Yes,650.0,Yes
208,Yes,,Yes,1800.0,Yes
209,Yes,,Yes,1500.0,Yes
210,Yes,,Yes,1500.0,Yes
211,No,,Yes,1000.0,Yes
212,No,,Yes,1000.0,Yes
213,No,,Yes,650.0,Yes
214,No,,Yes,500.0,Yes
215,No,,No,1000.0,Yes
216,No,,No,500.0,Yes
217,Yes,,Yes,1300.0,Yes
218,No,,Yes,850.0,Yes
219,Yes,,Yes,1500.0,Yes
220,Yes,,Yes,1300.0,Yes
221,Yes,,Yes,1300.0,Yes
222,Yes,,Yes,1300.0,Yes
223,Yes,,Yes,1300.0,Yes
224,Yes,,Yes,1000.0,Yes
225,No,,Yes,850.0,Yes
226,No,,No,500.0,Yes
227,No,,No,850.0,Yes
228,No,,Yes,670.0,Yes
229,No,,Yes,850.0,Yes
230,No,,No,650.0,Yes
231,No,,Yes,850.0,Yes
232,No,,No,850.0,Yes
233,No,,No,750.0,Yes
234,No,,No,750.0,Yes
235,No,,No,650.0,Yes
236,No,,No,650.0,Yes
237,No,,No,650.0,No
238,No,,No,750.0,
239,No,,No,650.0,Yes
240,No,,Yes,750.0,No
241,No,,No,700.0,No
242,No,,No,750.0,No
243,Yes,,Yes,3000.0,Yes
244,Yes,,Yes,3000.0,Yes
245,Yes,,Yes,5020.0,Yes
246,Yes,,Yes,3150.0,Yes
247,Yes,,Yes,2350.0,Yes
248,Yes,,Yes,2350.0,Yes
249,Yes,,Yes,2400.0,Yes
250,Yes,,Yes,3150.0,Yes
251,Yes,,Yes,3150.0,Yes
252,Yes,,Yes,2000.0,Yes
253,Yes,,Yes,2000.0,Yes
254,Yes,,Yes,4000.0,Yes
255,Yes,,Yes,1700.0,Yes
256,Yes,,Yes,3140.0,Yes
257,Yes,,Yes,6000.0,Yes
258,Yes,,Yes,4000.0,Yes
259,Yes,,Yes,2100.0,Yes
260,Yes,,Yes,1850.0,Yes
261,Yes,Yes,Yes,3500.0,Yes
262,Yes,,Yes,1400.0,Yes
263,Yes,,Yes,1800.0,Yes
264,Yes,,Yes,1350.0,Yes
265,Yes,,Yes,1920.0,Yes
266,Yes,,Yes,2400.0,Yes
267,Yes,,Yes,2200.0,
268,Yes,,Yes,2050.0,Yes
269,Yes,,Yes,1420.0,Yes
270,Yes,,Yes,2000.0,Yes
271,Yes,,Yes,1750.0,Yes
272,Yes,,Yes,1500.0,Yes
273,Yes,,Yes,2300.0,Yes
274,Yes,,Yes,2200.0,Yes
275,Yes,Yes,Yes,2500.0,Yes
276,Yes,Yes,Yes,2500.0,Yes
277,,,Yes,3000.0,No
278,,,Yes,8000.0,No
279,,,Yes,3000.0,No
280,,,Yes,4400.0,No
281,,,Yes,3000.0,No
282,Yes,,Yes,4000.0,No
283,,,Yes,4000.0,No
284,No,,Yes,1000.0,Yes
285,Yes,,Yes,2100.0,Yes
286,Yes,,Yes,1700.0,Yes
287,Yes,,Yes,1700.0,Yes
288,Yes,,Yes,3000.0,Yes
289,Yes,,Yes,2000.0,Yes
290,No,,Yes,1200.0,Yes
291,Yes,,Yes,1700.0,Yes
292,Yes,,Yes,1800.0,Yes
293,Yes,,Yes,1800.0,Yes
294,Yes,,Yes,1800.0,Yes
295,Yes,,Yes,3000.0,Yes
296,No,,Yes,1280.0,Yes
297,Yes,,Yes,1500.0,Yes
298,Yes,,Yes,2100.0,Yes
299,Yes,,Yes,2100.0,Yes
300,Yes,,Yes,1600.0,Yes
301,Yes,,Yes,1700.0,Yes
302,Yes,,Yes,1600.0,Yes
303,Yes,,Yes,1900.0,No
304,Yes,,Yes,1400.0,No
305,No,,,800.0,Yes
306,No,,Yes,950.0,Yes
307,No,,Yes,,No
308,No,,Yes,,No
309,No,,Yes,,No
310,Yes,,Yes,,No
311,No,,Yes,,No
312,No,,Yes,,No
313,Yes,Yes,Yes,2400.0,No
314,Yes,,Yes,,No
315,Yes,,Yes,,No
316,No,,Yes,,No
317,Yes,,Yes,,No
318,No,,Yes,,No
319,No,,Yes,,No
320,No,,Yes,4400.0,No
321,Yes,Yes,Yes,11081.0,No
322,Yes,Yes,Yes,8108.0,No
323,Yes,,Yes,8827.0,No
324,Yes,Yes,No,,No
325,Yes,Yes,No,273.0,No
326,Yes,Yes,No,,No
327,Yes,Yes,No,273.0,No
328,Yes,Yes,No,,No
329,No,Yes,No,250.0,No
330,Yes,Yes,No,273.0,No
331,No,Yes,No,205.0,No
332,Yes,Yes,No,2900.0,No
333,Yes,Yes,No,1960.0,No
334,Yes,Yes,Yes,7297.0,No
335,Yes,Yes,Yes,1624.0,No
336,Yes,Yes,Yes,2750.0,No
337,Yes,Yes,Yes,1715.0,No
338,Yes,Yes,Yes,10.0,No
339,Yes,,Yes,5124.0,No
340,No,Yes,No,250.0,No
341,No,Yes,No,205.0,No
342,No,Yes,No,250.0,No
343,No,Yes,No,205.0,No
344,No,Yes,No,250.0,No
345,No,Yes,No,205.0,No
346,Yes,,Yes,7340.0,No
347,Yes,,Yes,6470.0,No
348,Yes,Yes,Yes,2915.0,No
349,Yes,Yes,Yes,1810.0,No
350,Yes,,Yes,8600.0,No
351,Yes,,Yes,6470.0,No
352,Yes,,Yes,1560.0,No
353,Yes,,Yes,1510.0,No
354,No,,Yes,4490.0,No
355,Yes,,Yes,4490.0,No
356,No,,Yes,11560.0,No
357,Yes,,Yes,11560.0,No
358,Yes,,Yes,1440.0,No
359,Yes,,Yes,11560.0,No
360,No,,Yes,11560.0,No
361,Yes,,Yes,1432.0,No
362,Yes,,Yes,6930.0,No
363,No,,Yes,6930.0,No
364,Yes,,Yes,6930.0,No
365,Yes,,Yes,1420.0,No
366,Yes,,Yes,1420.0,No
367,Yes,,Yes,6600.0,No
368,No,,Yes,6600.0,No
369,Yes,,Yes,,No
370,Yes,,Yes,,No
371,No,,Yes,,No
372,Yes,,Yes,3000.0,Yes
373,Yes,,Yes,2400.0,Yes
374,Yes,,Yes,2950.0,Yes
375,Yes,,Yes,2100.0,
376,Yes,Yes,Yes,2000.0,Yes
377,Yes,Yes,Yes,2700.0,Yes
378,Yes,,Yes,1700.0,Yes
379,Yes,,Yes,3500.0,No
380,Yes,,Yes,2800.0,No
381,Yes,,Yes,2000.0,Yes
382,Yes,,Yes,1400.0,No
383,Yes,,Yes,2000.0,Yes
384,Yes,,Yes,1850.0,Yes
385,Yes,,Yes,4680.0,No
386,Yes,,Yes,2650.0,Yes
387,Yes,,Yes,5000.0,Yes
388,Yes,,Yes,7800.0,No
389,Yes,,Yes,3300.0,Yes
390,Yes,,Yes,5000.0,Yes
391,Yes,,Yes,3480.0,No
392,Yes,,Yes,4680.0,No
393,Yes,,Yes,2600.0,Yes
394,Yes,,Yes,4100.0,Yes
395,Yes,Yes,Yes,3000.0,Yes
396,Yes,,Yes,7800.0,No
397,No,,No,341.0,No
398,Yes,,Yes,5900.0,
399,Yes,,Yes,4130.0,Yes
400,Yes,,Yes,3000.0,Yes
401,Yes,,Yes,2600.0,Yes
402,Yes,,Yes,4100.0,Yes
403,Yes,,Yes,4600.0,Yes
404,Yes,Yes,Yes,3000.0,No
405,Yes,,Yes,3000.0,Yes
406,Yes,,Yes,5000.0,Yes
407,Yes,,Yes,2070.0,Yes
408,Yes,,Yes,2070.0,Yes
409,Yes,,Yes,3010.0,Yes
410,Yes,,Yes,2500.0,Yes
411,Yes,,Yes,1600.0,Yes
412,Yes,,Yes,2070.0,Yes
413,No,,No,400.0,No
414,No,,No,300.0,No
415,No,,No,270.0,No
416,Yes,,Yes,3000.0,Yes
417,Yes,Yes,Yes,3000.0,No
418,Yes,,Yes,4865.0,
419,Yes,,Yes,2070.0,Yes
420,Yes,,Yes,5000.0,Yes
421,Yes,,Yes,3000.0,Yes
422,Yes,,Yes,3000.0,Yes
423,Yes,,Yes,3000.0,No
424,Yes,,Yes,3000.0,Yes
425,Yes,,Yes,,Yes
426,Yes,,Yes,2400.0,Yes
427,Yes,,Yes,3514.0,Yes
428,Yes,,Yes,2500.0,
429,Yes,Yes,Yes,3030.0,Yes
430,Yes,,Yes,4000.0,No
431,Yes,,Yes,3514.0,No
432,Yes,,Yes,3000.0,Yes
433,Yes,,Yes,2500.0,Yes
434,Yes,,Yes,3000.0,Yes
435,Yes,Yes,Yes,3000.0,Yes
436,Yes,,Yes,4054.0,No
437,Yes,,Yes,2100.0,Yes
438,Yes,,Yes,4054.0,No
439,Yes,,Yes,3000.0,No
440,Yes,,Yes,2500.0,
441,Yes,,Yes,2500.0,Yes
442,Yes,,Yes,5135.0,No
443,Yes,,Yes,2060.0,Yes
444,Yes,Yes,Yes,4054.0,No
445,Yes,Yes,Yes,4054.0,No
446,Yes,,Yes,2110.0,Yes
447,Yes,,Yes,1750.0,Yes
448,Yes,Yes,Yes,4054.0,No
449,Yes,,Yes,4054.0,No
450,Yes,,Yes,4054.0,No
451,Yes,,Yes,4054.0,No
452,Yes,,Yes,4054.0,No
453,Yes,,Yes,4054.0,No
