,SIM,display_size,screen_to_body_ratio,OS
0,Dual,7.0,69.8,Android 6.0
1,Dual,5.5,71.7,Android 6.0
2,Dual,5.0,,Android 6.0
3,No,10.1,68.4,Android 6.0
4,Triple,5.5,69.0,Android 5.1
5,Dual,5.5,70.3,Android 6.0
6,Dual,5.0,66.4,Android 6.0
7,No,8.0,67.1,Android 5.0
8,Dual,5.5,70.2,Windows
9,Dual,4.5,61.7,Android 5.1
10,Dual,4.5,61.7,Android 5.1
11,Dual,5.5,68.8,Android 5.1
12,Dual,5.0,68.1,Android 5.1
13,No,10.1,64.6,Android 5.0
14,No,8.0,67.9,Android 5.0
15,No,10.1,67.8,Android 4.4
16,No,10.1,67.8,Android 4.4
17,Dual,5.0,68.8,Android 5.0
18,Dual,5.0,57.1,Android 4.4.2
19,Dual,4.0,56.8,Android 5.0
20,Dual,4.0,57.0,Windows
21,Dual,4.5,61.5,Android 4.4.4
22,Dual,5.0,69.8,Android 4.4.4
23,Dual,5.0,65.1,Android 4.4.2
24,Single,5.7,72.7,Android 4.4.2
25,Dual,5.0,71.1,Android 4.4.2
26,Triple,5.0,64.1,Android 4.4.2
27,Single,5.0,65.1,Android 4.4.2
28,Dual,4.0,55.6,Android 4.4.2
29,No,8.0,66.4,Android 4.4.2
30,Yes,7.0,64.5,Android 4.2.2
31,Yes,7.0,66.4,Android 4.4.2
32,No,7.0,66.4,Android 4.2.2
33,Dual,4.7,64.0,Android 4.2.2
34,Dual,4.7,65.8,Android 4.2.2
35,Dual,4.0,57.4,Android 4.2.2
36,Yes,7.0,56.7,Android 4.2
37,No,7.0,57.1,Android 4.2
38,No,7.9,68.8,Android 4.2
39,Dual,5.0,64.4,Android 4.2
40,Single,6.0,69.0,Android 4.2.2
41,Dual,3.5,55.8,Android 4.2
42,Dual,5.7,66.2,Android 4.2
43,Single,10.1,65.0,Android 4.2.2
44,Yes,7.9,63.6,Android 4.2
45,No,7.9,63.6,Android 4.2.2
46,Dual,4.5,62.7,Android 4.2.1
47,Dual,3.5,53.1,Android 4.1.1
48,Single,4.3,61.1,Android 4.0
49,Dual,4.5,61.7,Android 4.1.1
50,No,7.0,53.8,Android
51,No,7.0,54.4,Android 4.1
52,No,7.0,56.5,Android 4.1
53,Dual,3.5,53.9,Android 2.3
54,Single,4.3,60.0,Android 4.0.3
55,Dual,4.3,60.0,Android 4.0.3
56,Single,3.7,56.9,Android 4.0
57,Single,4.3,61.0,Android 4.0
58,No,10.1,65.1,Android 4.0
59,No,10.1,65.0,Android 3.2
60,Single,10.1,65.1,Android 4.0
61,No,10.1,65.3,Android 4.0
62,Single,10.1,65.0,Android 4.0
63,No,10.1,65.1,Android 4.0
64,Single,3.6,53.9,Windows
65,Single,3.5,48.3,Android 2.3
66,Single,10.1,64.3,Android 3.0
67,Single,4.8,62.5,Android 2.3
68,No,10.1,64.3,Android 3.0
69,Single,7.0,60.4,Android 3.2
70,No,7.0,60.4,Android 3.0
71,Single,3.2,48.0,Android 2.2
72,Single,2.6,28.6,Android 2.2
73,Single,2.8,41.6,Android 2.2
74,Single,3.2,44.4,Android
75,Single,3.6,50.9,Android 2.2
76,Single,2.6,29.1,Android 1.6
77,Single,2.8,43.0,Android 1.6
78,Single,3.7,51.8,Android 2.1
79,Single,3.5,48.5,Android 2.1
80,Single,3.2,44.7,Windows
81,Single,3.2,44.7,Android 2.1
82,Single,3.2,48.2,Windows
83,Single,2.8,43.4,Android 1.5
84,Single,3.5,48.5,Android 1.6
85,Single,3.8,55.0,Windows
86,Single,3.0,43.5,Windows
87,Single,3.2,46.1,Windows
88,Single,3.2,46.1,Windows
89,Single,2.8,37.5,Windows
90,Single,3.8,55.7,Windows
91,Single,3.8,55.1,Windows
92,Single,2.8,38.7,Windows
93,Dual,2.8,37.9,Windows
94,Dual,5.2,70.8,Android 6.0
95,Dual,6.0,72.9,Android 7.0
96,Dual,5.0,68.4,Android 6.0
97,Single,5.5,71.8,Android 6.0
98,Dual,5.0,68.7,Android 5.1
99,Single,5.0,67.3,Android 6.0
100,Dual,5.5,71.5,Android 6.0
101,Single,7.0,65.3,Android 6.0.1
102,Dual,5.5,71.3,Android 6.0
103,Dual,5.5,71.7,Android 6.0
104,Dual,5.0,68.6,Android 6.0
105,Single,5.5,71.9,Windows
106,Dual,5.5,71.9,Android 6.0.1
107,Dual,5.2,69.9,Android 6.0.1
108,Single,7.0,67.7,Android 6.0
109,Dual,6.0,68.2,Android 5.1
110,Single,6.0,71.8,Android 5.1
111,Single,4.0,58.3,Android 6.0
112,Dual,5.5,70.6,Android 5.1
113,Dual,5.0,68.3,Android 5.1
114,Single,5.5,70.6,Android 5.1.1
115,No,1.22,27.1,Other
116,Dual,5.0,67.1,Android 5.1
117,Single,1.8,,
